date,product,price,quantity,region
2024-01-15,Laptop Pro,999.99,5,Baku
2024-01-15,Wireless Mouse,29.99,45,Baku
2024-01-16,Laptop Pro,999.99,3,Ganja
2024-01-16,Keyboard X1,79.99,12,Ganja
2024-01-17,Monitor 27,349.99,8,Baku
2024-01-18,Wireless Mouse,29.99,120,Baku
2024-01-19,Laptop Pro,999.99,2,Sumgait
2024-01-20,Keyboard X1,79.99,7,Baku
2024-01-21,Monitor 27,349.99,4,Lankaran
2024-01-22,Webcam HD,59.99,25,Baku
2024-01-23,Laptop Pro,999.99,6,Baku
2024-01-24,Wireless Mouse,29.99,15,Ganja
2024-01-25,Headphones Pro,149.99,9,Baku
2024-01-26,Keyboard X1,79.99,3,Sumgait
2024-01-27,Monitor 27,349.99,11,Baku
2024-01-28,Wireless Mouse,29.99,8,Lankaran
2024-01-29,Laptop Pro,999.99,4,Baku
2024-01-30,Webcam HD,59.99,18,Baku
2024-02-01,Laptop Pro,999.99,7,Baku
2024-02-02,Wireless Mouse,29.99,200,Baku
2024-02-03,Keyboard X1,79.99,22,Ganja
2024-02-04,Monitor 27,349.99,5,Sumgait
2024-02-05,Headphones Pro,149.99,14,Baku
2024-02-06,Laptop Pro,999.99,2,Lankaran
2024-02-07,Webcam HD,59.99,30,Baku
2024-02-08,Wireless Mouse,29.99,12,Ganja
2024-02-09,Keyboard X1,79.99,6,Sumgait
2024-02-10,Monitor 27,349.99,9,Baku
2024-02-11,Laptop Pro,999.99,5,Baku
2024-02-12,Headphones Pro,149.99,3,Lankaran
